"longitude","latitude","species","geometry","color"
153.094927,-27.341296,"Limosa lapponica",c(153.094927, -27.341296),"#509E2F"
153.094475,-27.341089,"Limosa lapponica",c(153.094475, -27.341089),"#509E2F"
150.748359,-34.856702,"Limosa lapponica",c(150.748359, -34.856702),"#509E2F"
153.070383,-27.305286,"Limosa lapponica",c(153.070383, -27.305286),"#509E2F"
151.125856,-34.015803,"Limosa lapponica",c(151.125856, -34.015803),"#509E2F"
153.1854,-27.446078,"Limosa lapponica",c(153.1854, -27.446078),"#509E2F"
153.185372,-27.446113,"Limosa lapponica",c(153.185372, -27.446113),"#509E2F"
153.182387,-27.445528,"Limosa lapponica",c(153.182387, -27.445528),"#509E2F"
153.182342,-27.445558,"Limosa lapponica",c(153.182342, -27.445558),"#509E2F"
153.182012,-27.445477,"Limosa lapponica",c(153.182012, -27.445477),"#509E2F"
153.182017,-27.445487,"Limosa lapponica",c(153.182017, -27.445487),"#509E2F"
153.181405,-27.445287,"Limosa lapponica",c(153.181405, -27.445287),"#509E2F"
153.181135,-27.445122,"Limosa lapponica",c(153.181135, -27.445122),"#509E2F"
153.181183,-27.445135,"Limosa lapponica",c(153.181183, -27.445135),"#509E2F"
153.181102,-27.4451,"Limosa lapponica",c(153.181102, -27.4451),"#509E2F"
153.181068,-27.445095,"Limosa lapponica",c(153.181068, -27.445095),"#509E2F"
153.181132,-27.44511,"Limosa lapponica",c(153.181132, -27.44511),"#509E2F"
153.181132,-27.44511,"Limosa lapponica",c(153.181132, -27.44511),"#509E2F"
153.181215,-27.445093,"Limosa lapponica",c(153.181215, -27.445093),"#509E2F"
145.76532,-16.907605,"Limosa lapponica",c(145.76532, -16.907605),"#509E2F"
153.068458,-27.302478,"Limosa lapponica",c(153.068458, -27.302478),"#509E2F"
150.746998,-34.854567,"Limosa lapponica",c(150.746998, -34.854567),"#509E2F"
151.363253,-33.521365,"Limosa lapponica",c(151.363253, -33.521365),"#509E2F"
145.765747,-16.908223,"Limosa lapponica",c(145.765747, -16.908223),"#509E2F"
145.766413,-16.908933,"Limosa lapponica",c(145.766413, -16.908933),"#509E2F"
145.766074,-16.908495,"Limosa lapponica",c(145.766074, -16.908495),"#509E2F"
145.76648,-16.909042,"Limosa lapponica",c(145.76648, -16.909042),"#509E2F"
145.765931,-16.9085,"Limosa lapponica",c(145.765931, -16.9085),"#509E2F"
115.729468,-32.401596,"Limosa lapponica",c(115.729468, -32.401596),"#509E2F"
152.903204,-31.40787,"Limosa lapponica",c(152.903204, -31.40787),"#509E2F"
153.169831,-27.408078,"Limosa lapponica",c(153.169831, -27.408078),"#509E2F"
149.911318,-36.888939,"Limosa lapponica",c(149.911318, -36.888939),"#509E2F"
145.774231,-16.909136,"Limosa lapponica",c(145.774231, -16.909136),"#509E2F"
153.099726,-27.341583,"Limosa lapponica",c(153.099726, -27.341583),"#509E2F"
145.768784,-16.910105,"Limosa lapponica",c(145.768784, -16.910105),"#509E2F"
145.770195,-16.911574,"Limosa lapponica",c(145.770195, -16.911574),"#509E2F"
153.134247,-27.048569,"Limosa lapponica",c(153.134247, -27.048569),"#509E2F"
142.254972,-10.170555,"Limosa lapponica",c(142.254972, -10.170555),"#509E2F"
153.107293,-27.045152,"Limosa lapponica",c(153.107293, -27.045152),"#509E2F"
153.10727,-27.045138,"Limosa lapponica",c(153.10727, -27.045138),"#509E2F"
153.107273,-27.045138,"Limosa lapponica",c(153.107273, -27.045138),"#509E2F"
153.107272,-27.045127,"Limosa lapponica",c(153.107272, -27.045127),"#509E2F"
153.104762,-27.042058,"Limosa lapponica",c(153.104762, -27.042058),"#509E2F"
153.104838,-27.042007,"Limosa lapponica",c(153.104838, -27.042007),"#509E2F"
153.10216,-27.034375,"Limosa lapponica",c(153.10216, -27.034375),"#509E2F"
153.102133,-27.034475,"Limosa lapponica",c(153.102133, -27.034475),"#509E2F"
153.100552,-27.032915,"Limosa lapponica",c(153.100552, -27.032915),"#509E2F"
153.10818,-27.046632,"Limosa lapponica",c(153.10818, -27.046632),"#509E2F"
150.505371,-35.267247,"Limosa lapponica",c(150.505371, -35.267247),"#509E2F"
145.773523,-16.915062,"Limosa lapponica",c(145.773523, -16.915062),"#509E2F"
152.688628,-31.878103,"Limosa lapponica",c(152.688628, -31.878103),"#509E2F"
151.439147,-33.336788,"Limosa lapponica",c(151.439147, -33.336788),"#509E2F"
149.911422,-36.888878,"Limosa lapponica",c(149.911422, -36.888878),"#509E2F"
151.439178,-33.336825,"Limosa lapponica",c(151.439178, -33.336825),"#509E2F"
153.206033,-27.480431,"Limosa lapponica",c(153.206033, -27.480431),"#509E2F"
142.335261,-10.188347,"Limosa lapponica",c(142.335261, -10.188347),"#509E2F"
142.335261,-10.188347,"Limosa lapponica",c(142.335261, -10.188347),"#509E2F"
152.857912,-31.546672,"Limosa lapponica",c(152.857912, -31.546672),"#509E2F"
153.192675,-27.465972,"Limosa lapponica",c(153.192675, -27.465972),"#509E2F"
153.19268,-27.46596,"Limosa lapponica",c(153.19268, -27.46596),"#509E2F"
153.192642,-27.465887,"Limosa lapponica",c(153.192642, -27.465887),"#509E2F"
153.192635,-27.46587,"Limosa lapponica",c(153.192635, -27.46587),"#509E2F"
153.192628,-27.465865,"Limosa lapponica",c(153.192628, -27.465865),"#509E2F"
153.192603,-27.465878,"Limosa lapponica",c(153.192603, -27.465878),"#509E2F"
153.192592,-27.465623,"Limosa lapponica",c(153.192592, -27.465623),"#509E2F"
153.192592,-27.465623,"Limosa lapponica",c(153.192592, -27.465623),"#509E2F"
151.549029,-33.23333,"Limosa lapponica",c(151.549029, -33.23333),"#509E2F"
151.559887,-33.238804,"Limosa lapponica",c(151.559887, -33.238804),"#509E2F"
145.771938,-16.913328,"Limosa lapponica",c(145.771938, -16.913328),"#509E2F"
152.693723,-31.873708,"Limosa lapponica",c(152.693723, -31.873708),"#509E2F"
145.765022,-16.907114,"Limosa lapponica",c(145.765022, -16.907114),"#509E2F"
150.076653,-36.371129,"Limosa lapponica",c(150.076653, -36.371129),"#509E2F"
150.076489,-36.371053,"Limosa lapponica",c(150.076489, -36.371053),"#509E2F"
150.076482,-36.371073,"Limosa lapponica",c(150.076482, -36.371073),"#509E2F"
150.0765,-36.371073,"Limosa lapponica",c(150.0765, -36.371073),"#509E2F"
150.076602,-36.371153,"Limosa lapponica",c(150.076602, -36.371153),"#509E2F"
153.134222,-27.049495,"Limosa lapponica",c(153.134222, -27.049495),"#509E2F"
144.811805,-37.878023,"Limosa lapponica",c(144.811805, -37.878023),"#509E2F"
145.695123,-16.822546,"Limosa lapponica",c(145.695123, -16.822546),"#509E2F"
145.758508,-16.93314,"Limosa lapponica",c(145.758508, -16.93314),"#509E2F"
151.789351,-32.882937,"Limosa lapponica",c(151.789351, -32.882937),"#509E2F"
153.585134,-28.877476,"Limosa lapponica",c(153.585134, -28.877476),"#509E2F"
153.584426,-28.877796,"Limosa lapponica",c(153.584426, -28.877796),"#509E2F"
153.584619,-28.87774,"Limosa lapponica",c(153.584619, -28.87774),"#509E2F"
153.584555,-28.877796,"Limosa lapponica",c(153.584555, -28.877796),"#509E2F"
153.584512,-28.877871,"Limosa lapponica",c(153.584512, -28.877871),"#509E2F"
153.58434,-28.877927,"Limosa lapponica",c(153.58434, -28.877927),"#509E2F"
153.584083,-28.877927,"Limosa lapponica",c(153.584083, -28.877927),"#509E2F"
153.584297,-28.877871,"Limosa lapponica",c(153.584297, -28.877871),"#509E2F"
153.584147,-28.87836,"Limosa lapponica",c(153.584147, -28.87836),"#509E2F"
153.583911,-28.878566,"Limosa lapponica",c(153.583911, -28.878566),"#509E2F"
153.583975,-28.878566,"Limosa lapponica",c(153.583975, -28.878566),"#509E2F"
138.172841,-34.274804,"Limosa lapponica",c(138.172841, -34.274804),"#509E2F"
151.374591,-33.469689,"Limosa lapponica",c(151.374591, -33.469689),"#509E2F"
153.1323337555,-27.0382951902,"Limosa lapponica",c(153.1323337555, -27.0382951902),"#509E2F"
149.0237721667,-20.2557383333,"Limosa lapponica",c(149.0237721667, -20.2557383333),"#509E2F"
151.7907666667,-32.8823027778,"Limosa lapponica",c(151.7907666667, -32.8823027778),"#509E2F"
151.7921623141,-32.8806478221,"Limosa lapponica",c(151.7921623141, -32.8806478221),"#509E2F"
145.77625,-16.9182083333,"Limosa lapponica",c(145.77625, -16.9182083333),"#509E2F"
153.1088717234,-27.0479048739,"Limosa lapponica",c(153.1088717234, -27.0479048739),"#509E2F"
153.1090287842,-27.0476194408,"Limosa lapponica",c(153.1090287842, -27.0476194408),"#509E2F"
153.1090373788,-27.0478121845,"Limosa lapponica",c(153.1090373788, -27.0478121845),"#509E2F"
145.7733916667,-16.9148833333,"Limosa lapponica",c(145.7733916667, -16.9148833333),"#509E2F"
145.7795555556,-16.9193638889,"Limosa lapponica",c(145.7795555556, -16.9193638889),"#509E2F"
153.1702053148,-27.4234565371,"Limosa lapponica",c(153.1702053148, -27.4234565371),"#509E2F"
151.3745909929,-33.4696892797,"Limosa lapponica",c(151.3745909929, -33.4696892797),"#509E2F"
149.9127984,-36.8881446997,"Limosa lapponica",c(149.9127984, -36.8881446997),"#509E2F"
145.7655782998,-16.9075638876,"Limosa lapponica",c(145.7655782998, -16.9075638876),"#509E2F"
145.7766404003,-16.9182136116,"Limosa lapponica",c(145.7766404003, -16.9182136116),"#509E2F"
153.0660741404,-27.2890479751,"Limosa lapponica",c(153.0660741404, -27.2890479751),"#509E2F"
153.1818020716,-27.4451359837,"Limosa lapponica",c(153.1818020716, -27.4451359837),"#509E2F"
145.7697448,-16.9129711,"Limosa lapponica",c(145.7697448, -16.9129711),"#509E2F"
151.0802366843,-33.8406566553,"Limosa lapponica",c(151.0802366843, -33.8406566553),"#509E2F"
149.7643469459,-37.5596046271,"Limosa lapponica",c(149.7643469459, -37.5596046271),"#509E2F"
153.2064898191,-27.4804269,"Limosa lapponica",c(153.2064898191, -27.4804269),"#509E2F"
151.1934025312,-33.9545623515,"Limosa lapponica",c(151.1934025312, -33.9545623515),"#509E2F"
146.3360749633,-38.6912368328,"Limosa lapponica",c(146.3360749633, -38.6912368328),"#509E2F"
145.7647110255,-16.9053283023,"Limosa lapponica",c(145.7647110255, -16.9053283023),"#509E2F"
153.1820661023,-27.4448180553,"Limosa lapponica",c(153.1820661023, -27.4448180553),"#509E2F"
153.1820640805,-27.444928706,"Limosa lapponica",c(153.1820640805, -27.444928706),"#509E2F"
153.1821490574,-27.4449164853,"Limosa lapponica",c(153.1821490574, -27.4449164853),"#509E2F"
153.1821958847,-27.4449563729,"Limosa lapponica",c(153.1821958847, -27.4449563729),"#509E2F"
153.1821272431,-27.4447573185,"Limosa lapponica",c(153.1821272431, -27.4447573185),"#509E2F"
153.1820780611,-27.4449002338,"Limosa lapponica",c(153.1820780611, -27.4449002338),"#509E2F"
153.1821812267,-27.4450421772,"Limosa lapponica",c(153.1821812267, -27.4450421772),"#509E2F"
153.1820246284,-27.4448467782,"Limosa lapponica",c(153.1820246284, -27.4448467782),"#509E2F"
153.1821225995,-27.4448025104,"Limosa lapponica",c(153.1821225995, -27.4448025104),"#509E2F"
153.1821763406,-27.4447787567,"Limosa lapponica",c(153.1821763406, -27.4447787567),"#509E2F"
151.0788752768,-33.8360393434,"Limosa lapponica",c(151.0788752768, -33.8360393434),"#509E2F"
145.773805724,-16.9116340299,"Limosa lapponica",c(145.773805724, -16.9116340299),"#509E2F"
151.7902319963,-32.8822004761,"Limosa lapponica",c(151.7902319963, -32.8822004761),"#509E2F"
145.7657249672,-16.9058978228,"Limosa lapponica",c(145.7657249672, -16.9058978228),"#509E2F"
153.069475,-27.3114388889,"Limosa lapponica",c(153.069475, -27.3114388889),"#509E2F"
153.069475,-27.3114388889,"Limosa lapponica",c(153.069475, -27.3114388889),"#509E2F"
153.069475,-27.3114388889,"Limosa lapponica",c(153.069475, -27.3114388889),"#509E2F"
151.1254634811,-34.0154195766,"Limosa lapponica",c(151.1254634811, -34.0154195766),"#509E2F"
151.7898028781,-32.8832493735,"Limosa lapponica",c(151.7898028781, -32.8832493735),"#509E2F"
151.7898028781,-32.8832493735,"Limosa lapponica",c(151.7898028781, -32.8832493735),"#509E2F"
153.3756644279,-27.8931323204,"Limosa lapponica",c(153.3756644279, -27.8931323204),"#509E2F"
153.1806027778,-27.4444111111,"Limosa lapponica",c(153.1806027778, -27.4444111111),"#509E2F"
153.1806027778,-27.4444111111,"Limosa lapponica",c(153.1806027778, -27.4444111111),"#509E2F"
153.1806027778,-27.4444111111,"Limosa lapponica",c(153.1806027778, -27.4444111111),"#509E2F"
145.776800894,-16.9178012613,"Limosa lapponica",c(145.776800894, -16.9178012613),"#509E2F"
153.1775583333,-27.4423194444,"Limosa lapponica",c(153.1775583333, -27.4423194444),"#509E2F"
150.7475537909,-34.8619731505,"Limosa lapponica",c(150.7475537909, -34.8619731505),"#509E2F"
150.7476825369,-34.8617970834,"Limosa lapponica",c(150.7476825369, -34.8617970834),"#509E2F"
150.7475108755,-34.8617618699,"Limosa lapponica",c(150.7475108755, -34.8617618699),"#509E2F"
150.7472962988,-34.8610575973,"Limosa lapponica",c(150.7472962988, -34.8610575973),"#509E2F"
150.74682423,-34.8612336661,"Limosa lapponica",c(150.74682423, -34.8612336661),"#509E2F"
153.0523223,-27.1290743,"Limosa lapponica",c(153.0523223, -27.1290743),"#509E2F"
145.7769321582,-16.9180105119,"Limosa lapponica",c(145.7769321582, -16.9180105119),"#509E2F"
145.7761421284,-16.9174894521,"Limosa lapponica",c(145.7761421284, -16.9174894521),"#509E2F"
146.8258843089,-38.539014039,"Limosa lapponica",c(146.8258843089, -38.539014039),"#509E2F"
151.7899436202,-32.882264051,"Limosa lapponica",c(151.7899436202, -32.882264051),"#509E2F"
145.7699243355,-16.9078654812,"Limosa lapponica",c(145.7699243355, -16.9078654812),"#509E2F"
145.7699243355,-16.9078654812,"Limosa lapponica",c(145.7699243355, -16.9078654812),"#509E2F"
145.7699243355,-16.9078654812,"Limosa lapponica",c(145.7699243355, -16.9078654812),"#509E2F"
145.7699243355,-16.9078654812,"Limosa lapponica",c(145.7699243355, -16.9078654812),"#509E2F"
153.1937147677,-27.4727696786,"Limosa lapponica",c(153.1937147677, -27.4727696786),"#509E2F"
153.1804709344,-27.4439401714,"Limosa lapponica",c(153.1804709344, -27.4439401714),"#509E2F"
145.7709527761,-16.9202953698,"Limosa lapponica",c(145.7709527761, -16.9202953698),"#509E2F"
145.7697448,-16.9129711,"Limosa lapponica",c(145.7697448, -16.9129711),"#509E2F"
145.7697448,-16.9129711,"Limosa lapponica",c(145.7697448, -16.9129711),"#509E2F"
149.9212303654,-36.8894221504,"Limosa lapponica",c(149.9212303654, -36.8894221504),"#509E2F"
151.6370733082,-33.0893991431,"Limosa lapponica",c(151.6370733082, -33.0893991431),"#509E2F"
153.0235369444,-30.4952947222,"Limosa lapponica",c(153.0235369444, -30.4952947222),"#509E2F"
152.6943966667,-31.8743033333,"Limosa lapponica",c(152.6943966667, -31.8743033333),"#509E2F"
